final_gene,geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Vitvi05_01chr00g02560,Vitvi05_01chr00g02560,36.8044794170534,-8.68293947753751,1.32823352405563,-6.53720849555506,6.26776460741402e-11,1.18291521435725e-6
Vitvi05_01chr13g27330,Vitvi05_01chr13g27330,1694.73422004317,-1.58303699909745,0.282605199814241,-5.60158482624523,2.12400800553502e-8,2.0043201544231e-4
Vitvi05_01chr10g16820,Vitvi05_01chr10g16820,16.3706993624148,7.4627750692692,1.35160442339579,5.52141953673073,3.36271797947703e-8,2.115485880889e-4
Vitvi05_01chr19g22420,Vitvi05_01chr19g22420,332.215573141462,-2.80917906549536,0.548614432452358,-5.12049792955331,3.04729963132836e-7,0.00143779214855151
Vitvi05_01chr02g05210,Vitvi05_01chr02g05210,14898.9060676984,-3.00860668112758,0.617747425038831,-4.87028607353314,1.11436792025606e-6,0.00402472666687159
HSP20-6,Vitvi05_01chr04g01680,112.552403850132,3.9456458967525,0.814726414554752,4.84290901370712,1.2795188894839e-6,0.00402472666687159
CBF1,Vitvi05_01chr16g13550,37.5537639768055,3.81915626549343,0.840000981717032,4.54660928810673,5.45170672314933e-6,0.0146985801408568
Vitvi05_01chr01g23550,Vitvi05_01chr01g23550,2266.25073838323,-1.28785275453451,0.292904377521232,-4.39683682925208,1.09839853415111e-5,0.0148071968107385
Vitvi05_01chr03g11620,Vitvi05_01chr03g11620,94.9950210503488,-3.97100579111288,0.8955342830754,-4.43423090121782,9.24015535087767e-6,0.0148071968107385
HSP20-7,Vitvi05_01chr04g01690,274.097861669703,3.28611821537344,0.735014321629841,4.47082202165355,7.79195232424318e-6,0.0148071968107385
HSP20-17,Vitvi05_01chr08g06640,154.357879475867,2.21759772169136,0.501950730124586,4.41795895214844,9.9637337117691e-6,0.0148071968107385
ROMT1,Vitvi05_01chr12g02690,578.200912681403,-2.38065215226698,0.528434454113609,-4.50510396083138,6.6340456295263e-6,0.0148071968107385
ROMT2,Vitvi05_01chr12g02760,837.666116480845,-2.26028761478781,0.513904622287534,-4.39826286194243,1.09120768267221e-5,0.0148071968107385
Vitvi05_01chr19g00700,Vitvi05_01chr19g00700,409.324679819522,-1.77452240621594,0.40231447519599,-4.41078438788828,1.02996836862711e-5,0.0148071968107385
Vitvi05_01chr08g15780,Vitvi05_01chr08g15780,310.71734031625,-1.30976088974504,0.301775463698143,-4.34018350496233,1.42363779196059e-5,0.0179122106984481
Vitvi05_01chr19g22430,Vitvi05_01chr19g22430,272.421062799242,-2.45267602883339,0.570965988908973,-4.29566047098544,1.74173989928593e-5,0.0205449106995146
pPLA-IIÎ±3,Vitvi05_01chr18g12290,531.357629470008,-1.13823137682745,0.275486953631366,-4.13170700762307,3.60079209333762e-5,0.0399751465750359
